상품명,상품특징,대출신청자격,대출금액,대출기간,대출한도,원리금상환방법,인터넷대출,가입채널,대출신청,특례보증,대출금,통장자동대출,대출종류,대출신청시기,대출지급방법,대출금지급,상환방법,대출신청지점,대출대상주택,대출실행(지급),대출대상,대출실행(지급)시기,보험서비스,임차인,보증신청시기,신청자격,보증금액,보증기간,대상주택,인터넷보증,국민카드,KB국민카드,추가대출
KB 부분분할 전세자금대출,"대출금액 5% 이상 분할상환을 통해 무주택자의 자산형성 및 연말정산 소득공제(주택임차차입금 원리금 상환액공제) 지원 보증비율 100%, 고객부담 보증료 우대(최저 보증료율 0.05% 적용)",아래 내용을 모두 충족하는 민법상 성년인 세대주 또는 세대주로 인정되는 고객 (1) 임차보증금 수도권 5억원(지방 3억원) 이하 (2) 임차보증금의 5% 이상 계약금 지급 (3) 본인과 배우자(결혼예정자 포함)가 모두 무주택자,"최대 2억2천2백만원(임차보증금의 80% 이내) ※ 단, 실제 대출금액은 한국주택금융공사 보증서 발급가능금액 이내로 대출 가능","및 상환 방법 대출기간 : 1년 이상 2년 이내 (임대차계약 종료일 이내, 임대차기간 연장 시 최장 10년 이내 연장 가능) 상환방법 : 혼합상환[원(리)금균등분할상환 + 일시상환] ※ 분할상환금액은 대출금액의 5% 이상(단, 일시상환금액은 최소 10만원 이상) ※ 상환방법 및 분할상환금액은 대출기간 중 변경 불가",,,,,,,,,,신규임차 : 임대차계약서상 잔금지급일과 주민등록전입일 중 빠른 날로부터 3개월 이내 계약갱신 : 계약갱신일(갱신계약서 상 계약시작일 기준)로부터 3개월 이내[임대차계약을 자동기한연장(묵시적 갱신)한 경우에는 연장개시일로부터 3개월 이내],,,,,"아파트(주상복합 포함), 연립, 다세대, 단독/다가구, 주거용 오피스텔, 노인복지주택 ※ 전세(예정)주택이 무허가건물 또는 건물등기사항전부증명서에 소유권 권리침해(압류, 가압류, 경매 등)가 있는 주택 등인 경우 대출불가","시기 신규임차 : 임대차계약서 상 잔금납부일(입주예정일) 7일 이내에서 고객의 위임을 받아 임대인 계좌로 대출금액 입금이 원칙 계약갱신 : 증액금액은 잔금납부일에 고객의 위임을 받아 임대인계좌로 입금. 다만, 전세보증금 증액금액 초과 대출금액 또는 영수증 등으로 증액금액의 납부사실이 확인된 경우에는 임차인 계좌로 입금 가능함.",,,,,,,,,,,,,
KB 분할상환 모기지론,변동금리 적용 주택담보대출,주택을 담보로 대출 신청하는 고객(주택구입/신축/경락주택 구입자금대출),"담보조사 가격 및 소득금액, 담보물건지 지역 등에 따른 대출 가능금액 이내",및 상환 방법 대출기간 : 최소 3년 이상 최장 30년 이내 (12개월 변동주기는 최장 35년 이내) ☞ 거치기간 불가능 상환방법 : 원(리)금 균등 분할상환,,,,,,,,,,,,,,,"아파트, 단독주택(다가구 포함), 연립주택(빌라 포함), 다세대주택, 주상복합주택, 도시형생활주택",,,,,,,,,,,,,,
장애인자립자금대출,보건복지부 선정 성년 등록장애인 대상 가계안정자금대출 지원 신용대출 또는 담보대출로 신청 가능,거주지 구청장으로부터 융자추천을 받은 성년등록장애인 - 융자추천은「복지대상자 자금대여 결정통지서」로 확인,신용대출 : 무보증 최고 1천2백만원 이내(연대보증인 입보시 최고 2천만원 이내) 담보대출 : 최대 5천만원 이내 ※ 융자추천금액 이내,및 상환 방법 5년 거치 후 5년 원금균등분할상환,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 경락주택구입자금대출,◈ 기존 국민은행 거래 실적과 관계없이 신속하게 대출 취급 ◈ 경락대금 납입을 지원하는 대출,▣ 경매 또는 공매주택 매각(경락)허가 결정을 얻은 분으로서 은행에서 정한 소정의 자격자,"▣ 소요자금의 100%와 담보조사가격의 70%범위내에서 담보평가 및 소득금액, 담보물건지 지역 등에 따른 대출처리시스템에서 평가한 대출가능금액 중 작은금액",및 상환 방법 ▣ 변동기준 6/12개월 및 2년/3년/5년 변동(고정)금리 : 최저 1년이상 최장 35년 이내 분할상환(일시상환 최장 5년) * 일시상환대출은 은행이 정한 기준에 부합하는 경우 최장 10년까지 기한연장 가능 * 분할상환대출은 총 대출기간의 30%범위이내에서 최장 3년까지 거치기간 가능,,,,,,,,,,▣ 매각허가결정일 이후 재매각기일의 전일로부터 소급하여 3일이 되는 날까지,,,,,"▣ 공부상 주택이고 실제 주거용으로 이용되는 주택으로 종류, 구조 및 면적은 제한 없음. (단, 복합용도 건물인 경우 주거전용면적이 건물전용면적의 1/2이상이어야 함)",시기 ▣ 경락대금 지급기일(또는 재경매 기일의 3일 이전)에 지급,,,,,,,,,,,,,
FOR YOU 장기대출,일정기간[5년] 동안 고정금리 적용 이후 변동금리 적용 주택담보대출,주택을 담보로 대출 신청하는 고객 (주택구입/신축/경락주택 구입자금대출 및 통장자동대출 포함,"담보조사 가격의 70% 범위 내에서 담보평가 및 소득금액, 담보물건지 지역 등에 따른 대출가능금액 이내","및 상환 방법 원금·원리금균등 분할상환 : 최저15년 이상 최장 35년이내 ☞비거치, 1년, 2년, 3년 중 거치기간 선택가능 주택구입자금 용도 등 별도로 정한 경우는 비거치 또는 거치기간을 1년으로 운용 (대출취급 후 거치기간 연장, 대출기간 연장 등의 조건변경 불가)",,,,,,,,,,,,,,,"아파트, 주상복합아파트, 단독주택(다가구 포함), 연립주택(빌라 포함), 다세대주택, 주상복합주택",,,,,,,,,,,,,,
일반부동산 경락자금대출,경락대금 납입을 지원하는 대출,"주경매 또는 공매 일반부동산(주택 제외) 매각(경락)허가 결정을 얻은 분으로서 은행에서 정한 소정의 자격자(단,대출금액에 관계없이 동일인에 대한 2건 이상의 경락자금대출 불가)","소요자금의 100%와 담보평가 및 소득금액, 담보물건지 지역 등에 따른 대출가능금액 중 작은 금액이내","및 상환 방법 변동기준 12개월 및 2년/3년/5년 변동금리 : 최저 1년이상 35년 이내 분할상환(일시상환 최장 5년) ☞ 분할상환대출은 총 대출기간의 30%범위내에서 최장3년까지 거치기간 가능 ☞ 단, 「여신심사 선진화를 위한 모범규준」에서 정한 경우에는 비거치 또는 거치기간 1년으로 운용",,,,,,,,,,매각허가결정일 이후 재매각기일의 전일로부터 소급하여 3일이 되는 날까지,,,,,,,부동산 주택 제외 일반 부동산(복합용도의 건물인 경우에는 주거전용면적이 건물전용면적의 1/2미만이어야함),경락대금 지급기일(또는 지급기일 이후 재경매 기일의 3일 이전)에 지급,,,,,,,,,,,
기존 근저당권 활용 주택자금대출,기존 국민은행 거래 실적과 관계없이 신속하게 대출 취급 다양한 금리조건과 상환방법,최초 대출이 주택구입자금대출인 경우로서 해당대출의 기존설정근저당권을 활용하여 주택담보대출을 신청하는 고객,최초 대출이 주택구입자금대출인 경우로서 해당대출의 기존설정근저당권을 활용하여 주택담보대출을 신청하는 고객,"및 상환 방법 변동기준 3/6개월 변동금리 : 최저 1년이상 30년 이내 분할상환 (일시상환 3개월변동 최장3년, 6개월변동 최장5년) 변동기준 12개월 및 2년/3년/5년 변동금리 : 최저 1년이상 35년 이내 분할상환(일시상환 최장 5년) ☞ 분할상환대출은 총 대출기간의 30%범위내에서 최장3년까지 거치기간 가능 ☞ 단, 「여신심사 선진화를 위한 모범규준」에서 정한 경우에는 비거치 또는 거치기간 1년으로 운용>/li>",,,,,,,,,,,,,,,"공부상 주택이고 실제 주거용으로 이용되는 주택으로 종류, 구조 및 면적은 제한 없음. 단, 복합용도 건물인 경우 주거전용면적이 건물전용면적의 1/2이상이어야함",,,,,,,,,,,,,,
토지분양자금대출,KB국민은행과 협약을 체결한 분양기관의 분양계약자 대상 토지분양자금대출 지원,"협약체결기관으로부터 단독주택용지, 근린생활시설용지, 상업용지(주차장, 주유소 등 포함)를 분양 받아 분양대금의 의무납부금액(10~30%) 이상을 납부하고 공사로부터 추천을 받은 개인 또는 개인사업예정자 ※ 협약체결기관 인지세액표 협약체결기관 의무납부비율 아산시 30% 한국토지주택공사, 에스에이치공사, 경기도시공사, 한국산업단지공단, 인천광역시도시개발공사, 대전광역시도시개발공사, 부산도시공사, 한국수자원공사, 화성도시공사, 경상남도개발공사, 광주광역시도시공사, 인천광역시경제자유구역청, 경상북도개발공사, 하남도시공사, 전남개발공사, 한국산업단지공단, 충북개발공사(공동시행), 시흥시, 충주시 20% 속초시, 울산광역시도시공사 15% 대구도시공사, 군포시, 창원시, 성주군, 용인도시공사, 울산광역시, 세종특별자치시, 울주군 10%",분양계약서 상 분양가격의 50%와 지역별 대지의 담보평가금액 중 작은 금액 이내,"및 상환 방법 일시상환 : 소유권이전등기 예정일 범위 내에서 3년 이내(최장 8년이내 기한연장 가능) - 단, 소유권 이전과 동시에 대출금 상환 원(리)금균등분할상환 : 최장 8년 이내 - 대출기간의 30% 이내 거치기간 운용 가능",,,,,,,,,,분양대금의 중도금 납부시부터 잔금납입일 이전까지,,,,,,,,,,,,,,,,,,,
KB 주택구입자금대출,◈ 기존 국민은행 거래 실적 없이 신속하게 대출 취급 ◈ 다양한 금리조건과 상환방법 ◈ 시세정보있는 공동주택의 경우 인터넷상에서 대출가능금액 즉시 조회 가능,주택을 구입하시는 분,매매(분양)계약서상 매매금액의 100%와 담보조사 가격의 60%범위 내에서 담보평가 및 소득금액에 따른 대출가능금액중 적은금액 기준 *담보일부 부족분 주택금융신용보증서 활용,및 상환 방법 - 변동기준 6개월 변동금리 : 최저 1년이상 최장 30년 이내 분할상환(일시상환 최장 5년) * 일시상환은 은행이 정한 기준에 부합하는 경우 최장 10년까지 기한연장 가능 - 변동기준 12개월 및 2년/3년/5년 변동금리 : 최저 1년이상 최장 35년 이내 분할상환(일시상환 최장 5년) * 분할상환대출은 총 대출기간의 30%범위이내에서 최장 3년까지 거치기간 가능,,,,,,,,,,"소유권이전등기를 하기 전에 신청, 이미 소유권이전등기를 한 경우에는 이전등기접수일로부터 3개월이내 신청 가능하고 3개월이 경과한 경우에는주택담보대출로 취급 가능",,,,,"공부상 주택이고 실제 주거용으로 이용되는 주택으로 종류, 구조 및 면적은 제한 없음(투기과열지구는 주택금융신용보증서 활용시 85㎡에 한함). 단, 복합용도 건물인 경우 주거전용면적이 건물전용면적의 1/2이상이어야 함",,,,,,,,,,,,,,
KB COFIX연동 모기지론,"시장금리 상승을 예상하는 경우 및 안정적인 장기대출금리를 원하는 고객 :『잔액기준 COFIX연동금리』선택이 일반적으로 유리 시장금리 하락을 예상하는 고객 :『신규취급액기준 COFIX연동금리』선택이 일반적으로 유리 ▣ COFIX(자금조달비용지수)란? : COFIX(Cost of Funds Index)는 국내 9개 은행(정보제공은행)들이 제공한 자금조달 관련 정보를 기초 로 하여 산출되는 자금 조달비용 지수로서, ""잔액기준 COFIX""와 ""신규취급액기준 COFIX""로 구분됩니다. (매월 15일 전국은행연합회 홈페이지 www.kfb.or.kr 공시) ☞ 잔액기준 COFIX : 정보제공은행들의 월말 지수산출대상 자금조달 잔액에 적용된 금리를 가중평균한 금리 지수 ☞ 신규취급액기준 COFIX : 정보제공은행들이 월중 신규로 조달한 지수산출대상 자금에 적용된 금리를 가중 평균한 금리지수",주택을 담보로 대출 신청하는 고객 (주택구입/신축/경락주택구입자금대출 및 통장자동대출 포함),"담보조사 가격의 70% 범위 내에서 담보평가 및 소득금액, 담보물겅지 지역 등에 따른 대출가능금액 이내 (종합통장자동대출은 최고 3억원이내)","및 상환 방법 일시상환(종합통장자동대출 포함) : 최저 1년이상 최장 5년이내 분할상환 : 최저 1년이상 최장 30년이내 (단, 12개월 변동금리는 최장 35년이내) ☞ 분할상환은 원(리)금균등/고객원금지정분할상환/혼합상환/할부금고정분할상환 중 선택 가능 ☞ 거치기간 : 대출기간의 30%이내에서 최장 3년이내 (대출취급 후 금리조건 변경은 불가)",,,,,,,,,,,,,,,"아파트, 주상복합아파트, 단독주택(다가구 포함), 연립주택(빌라 포함), 다세대주택, 주상복합주택",,,,,,,,,,,,,,
KB내집연금 연계대출,「KB골든라이프 공사주택연금론(주담대전환형)」으로 기존 주택담보대출을 전환하는 고객 중 상환자금이 부족한 고객을 지원하는 대출 상품,「KB골든라이프 공사주택연금론(주담대전환형)」을 신청하고 해당 대출만으로 기존 주택담보대출을 전액상환하기에는 자금이 부족하여 추가 대출이 필요한 고객 ※서울보증보험(주)의 개인금융신용보험증권 발급이 가능한 고객,서울보증보험(주)의 보증한도 이내에서 최대 1천만원까지 ※최종 대출가능금액은 한국주택금융공사에서 발급한 「KB골든라이프 공사주택연금론」보증서 상의 주택가격 및 월지급금(연금) 등에 따라 결정됩니다.,및 상환 방법 대출기간 : 최저 1년 ~ 최장 10년 이내 연 단위(거치기간 없음) ☞ 대출기간 선택 시 대출만기일은 고객 연령 만 85세 이내에서 가능 상환방법 : 원리금균등 분할상환(월단위 월계산) ☞ 매월 분할상환 원리금은 「KB골든라이프 공사주택연금론」의 월지급금(연금)의 80% 이내,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KB 금리고정형적격대출,#NAME?,"- 민법상 성년 ＊주택 구입, 경락, 신축(준공급만 해당)자금 필요시 신청 ＊주택을 담보로 가계일반자금 필요시 신청",- 담보사정가격 이내에서 5억원 이내,및 상환 방법 - 대출기간 : 10년~30년 중 선택 가능 - 거치기간 1년 거치 또는 비거치 선택,,,,,,,,#NAME?,,,,,,,"- 공부상 주택이고 실제 주거용으로 이용되는 아파트,연립,다세대,단독주택,주상복합주택(단,9억원 초과 주택, 오피스텔,상가 등은 제외)",,,,,,,,,,,,,,
